"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 08 07:04:01 GMT 2023","Sun Oct 08 07:04:03 GMT 2023","1894","chromium","home-page.spec.js","","","","Add Product to Wishlist from Home Page",""
"passed","Sun Oct 08 07:03:50 GMT 2023","Sun Oct 08 07:03:53 GMT 2023","2528","chromium","category-page.spec.js","","","","View category products",""
"passed","Sun Oct 08 07:04:13 GMT 2023","Sun Oct 08 07:04:15 GMT 2023","1907","chromium","wishlist-page.spec.js","","","","Add Product to Cart from Wishlist Page",""
"passed","Sun Oct 08 07:04:02 GMT 2023","Sun Oct 08 07:04:04 GMT 2023","2000","chromium","home-page.spec.js","","","","Add Product to Compare Products List from Home Page",""
"passed","Sun Oct 08 07:04:12 GMT 2023","Sun Oct 08 07:04:13 GMT 2023","1571","chromium","wishlist-page.spec.js","","","","Edit Product's quantity in Wishlist",""
"passed","Sun Oct 08 07:04:19 GMT 2023","Sun Oct 08 07:04:24 GMT 2023","5007","chromium","register-page.spec.js","","","","Register New User Account",""
"passed","Sun Oct 08 07:03:45 GMT 2023","Sun Oct 08 07:03:49 GMT 2023","4188","chromium","cart-page.spec.js","","","","Edit Product's quantity in Cart",""
"passed","Sun Oct 08 07:03:49 GMT 2023","Sun Oct 08 07:03:56 GMT 2023","6192","chromium","cart-page.spec.js","","","","Estimate shipping in Cart",""
"passed","Sun Oct 08 07:03:45 GMT 2023","Sun Oct 08 07:03:50 GMT 2023","4485","chromium","cart-page.spec.js","","","","Check continue shopping button in Cart",""
"passed","Sun Oct 08 07:04:05 GMT 2023","Sun Oct 08 07:04:10 GMT 2023","4831","chromium","login-page.spec.js","","","","Login User with correct email and wrong password",""
"passed","Sun Oct 08 07:03:56 GMT 2023","Sun Oct 08 07:03:58 GMT 2023","2201","chromium","compare-page.spec.js","","","","Remove Product from Compare Products List",""
"passed","Sun Oct 08 07:04:10 GMT 2023","Sun Oct 08 07:04:13 GMT 2023","2619","chromium","search-page.spec.js","","","","Add Product in Cart from Search Page",""
"passed","Sun Oct 08 07:04:05 GMT 2023","Sun Oct 08 07:04:10 GMT 2023","4941","chromium","login-page.spec.js","","","","Login User with wrong email and correct password",""
"passed","Sun Oct 08 07:04:10 GMT 2023","Sun Oct 08 07:04:12 GMT 2023","1331","chromium","search-page.spec.js","","","","Search the Product",""
"passed","Sun Oct 08 07:03:56 GMT 2023","Sun Oct 08 07:04:05 GMT 2023","9272","chromium","checkout-page.spec.js","","","","Checkout as a user",""
"passed","Sun Oct 08 07:03:58 GMT 2023","Sun Oct 08 07:04:00 GMT 2023","2122","chromium","compare-page.spec.js","","","","Clear Compare Products List",""
"passed","Sun Oct 08 07:03:50 GMT 2023","Sun Oct 08 07:03:55 GMT 2023","4991","chromium","cart-page.spec.js","","","","Add Gift wrapping in Cart",""
"passed","Sun Oct 08 07:03:53 GMT 2023","Sun Oct 08 07:03:54 GMT 2023","1371","chromium","category-page.spec.js","","","","Navigate to sub category page from side bar",""
"passed","Sun Oct 08 07:04:08 GMT 2023","Sun Oct 08 07:04:09 GMT 2023","502","chromium","login-page.spec.js","","","","Login User with empty email and password",""
"passed","Sun Oct 08 07:03:45 GMT 2023","Sun Oct 08 07:03:50 GMT 2023","4804","chromium","cart-page.spec.js","","","","Remove Product from Cart",""
"passed","Sun Oct 08 07:04:03 GMT 2023","Sun Oct 08 07:04:08 GMT 2023","5492","chromium","login-page.spec.js","","","","Login User with correct email and password",""
"passed","Sun Oct 08 07:04:13 GMT 2023","Sun Oct 08 07:04:15 GMT 2023","1908","chromium","wishlist-page.spec.js","","","","Remove Product from Wishlist",""
"passed","Sun Oct 08 07:04:00 GMT 2023","Sun Oct 08 07:04:02 GMT 2023","1702","chromium","home-page.spec.js","","","","Add Product to Cart from Home Page",""
"passed","Sun Oct 08 07:03:55 GMT 2023","Sun Oct 08 07:04:01 GMT 2023","5307","chromium","checkout-page.spec.js","","","","Checkout as a guest",""
